"Q7.在以上三种文化中您认为最具研究价值的是.","Q8.您认为最能体现以上三种文化差异的地方在于.","Q9..您对.不同地域文化之间存在区别又存在联系.的观点的认同程度..1.5打分.","微信","链接","手机提交","纸质问卷","大连","盘锦","沈阳","葫芦岛","哈尔滨","商丘","未知","second","minute","hour","所用时间","Q1.您的年级","Q2.您的性别","Q3.A.课堂学习.包括但不限于学校..","Q3.B.网络社交平台.","Q3.C.书籍杂志.","Q3.D.纪录片.","Q3.E.娱乐节目.","Q3.F.旁人讲述.","Q3.G.有生活经历.","Q3.H.完全不了解.","Q3.I.其他..","Q7.在以上三种文化中您认为最具研究价值的是.","Q8.您认为最能体现以上三种文化差异的地方在于.","Q9..您对.不同地域文化之间存在区别又存在联系.的观点的认同程度..1.5打分.","Q10.您认为研究不同地域文化的价值在于."
1,1,5,0,1,0,0,0,0,1,0,0,0,0,33,4,11,"50",2,1,1,1,1,1,0,0,1,0,0,1,1,5,1
3,1,3,1,0,0,0,1,0,0,0,0,0,0,1,11,11,"34",3,2,0,0,1,1,1,0,0,0,0,3,1,3,2
3,2,4,1,0,0,0,1,0,0,0,0,0,0,4,11,11,"39",2,2,0,1,0,0,1,0,0,0,0,3,2,4,2
2,3,3,1,0,0,0,1,0,0,0,0,0,0,42,11,11,"54",2,1,1,0,0,0,1,1,0,0,0,2,3,3,1
3,1,5,1,0,0,0,0,0,0,0,0,0,1,15,14,11,"38",5,2,0,0,1,1,0,0,0,0,0,3,1,5,2
3,1,4,1,0,0,0,0,0,0,1,0,0,0,29,14,11,"40",5,2,0,1,0,1,0,0,0,0,0,3,1,4,2
2,1,4,1,0,0,0,1,0,0,0,0,0,0,44,14,11,"54",2,2,1,1,1,1,1,1,1,0,0,2,1,4,2
3,3,5,1,0,0,0,1,0,0,0,0,0,0,25,15,11,"109",1,2,0,0,1,1,0,1,0,0,0,3,3,5,3
2,3,4,1,0,0,0,1,0,0,0,0,0,0,53,15,11,"126",2,2,1,1,1,1,1,1,1,0,0,2,3,4,2
2,3,4,1,0,0,0,0,1,0,0,0,0,0,54,19,11,"28",3,1,1,1,1,1,1,0,0,0,0,2,3,4,3
2,1,2,0,0,1,0,1,0,0,0,0,0,0,46,22,11,"22",2,1,0,0,1,0,0,0,0,0,0,2,1,2,3
1,1,5,0,0,1,0,1,0,0,0,0,0,0,21,23,11,"49",4,2,0,1,0,1,1,1,0,0,0,1,1,5,2
2,3,3,1,0,0,0,1,0,0,0,0,0,0,27,23,11,"41",4,2,1,1,1,1,1,0,1,0,0,2,3,3,1
2,2,3,0,0,1,0,1,0,0,0,0,0,0,35,23,11,"21",2,1,0,0,0,1,0,0,0,0,0,2,2,3,3
2,2,5,0,0,1,0,0,0,0,0,0,0,1,17,24,11,"38",2,1,0,1,0,0,0,0,0,0,0,2,2,5,1
2,3,4,0,0,1,0,0,0,1,0,0,0,0,32,30,11,"45",1,1,1,0,0,0,0,0,0,0,0,2,3,4,1
1,3,5,1,0,0,0,0,0,0,1,0,0,0,46,30,11,"56",2,2,0,1,0,0,0,0,0,0,0,1,3,5,1
2,4,5,0,0,1,0,0,0,0,0,0,0,1,52,30,11,"59",2,2,1,1,1,0,1,1,0,0,0,2,4,5,1
3,3,3,1,0,0,0,0,0,0,1,0,0,0,46,31,11,"44",1,2,1,1,1,1,0,0,0,0,0,3,3,3,3
1,3,1,1,0,0,0,1,0,0,0,0,0,0,55,39,11,"45",1,2,0,1,0,0,1,0,0,0,0,1,3,1,3
1,3,4,0,0,1,0,0,1,0,0,0,0,0,22,42,11,"69",2,2,0,1,1,0,1,1,1,0,0,1,3,4,3
3,2,3,1,0,0,0,1,0,0,0,0,0,0,3,43,11,"44",3,2,0,1,1,1,0,0,0,0,0,3,2,3,3
3,3,5,1,0,0,0,1,0,0,0,0,0,0,6,43,11,"46",3,2,0,0,0,0,1,0,0,0,0,3,3,5,2
3,1,4,1,0,0,0,1,0,0,0,0,0,0,14,43,11,"71",1,1,0,1,0,0,0,1,1,0,0,3,1,4,2
1,1,2,1,0,0,0,0,0,0,1,0,0,0,14,43,11,"72",3,2,0,0,0,1,1,1,1,0,0,1,1,2,2
2,2,3,1,0,0,0,0,1,0,0,0,0,0,33,43,11,"30",1,1,1,0,0,1,0,0,1,0,0,2,2,3,3
2,2,5,1,0,0,0,0,1,0,0,0,0,0,35,44,11,"46",5,1,1,0,1,0,1,0,0,0,0,2,2,5,2
2,1,1,1,0,0,0,1,0,0,0,0,0,0,40,44,11,"32",5,2,1,1,1,0,0,0,0,0,0,2,1,1,1
2,3,5,1,0,0,0,0,1,0,0,0,0,0,49,45,11,"42",1,2,0,0,1,1,1,0,0,0,0,2,3,5,3
2,1,5,1,0,0,0,0,0,1,0,0,0,0,51,45,11,"35",1,2,0,1,1,1,1,1,0,0,0,2,1,5,3
3,4,5,1,0,0,0,1,0,0,0,0,0,0,4,46,11,"45",1,2,1,0,1,1,0,0,0,0,0,3,4,5,3
2,1,4,1,0,0,0,0,1,0,0,0,0,0,38,46,11,"51",2,1,1,1,0,1,0,0,0,0,0,2,1,4,2
3,2,4,0,0,1,0,0,0,1,0,0,0,0,46,46,11,"68",2,1,0,1,0,0,0,0,0,0,0,3,2,4,3
1,4,4,1,0,0,0,0,1,0,0,0,0,0,50,46,11,"52",1,2,1,1,1,0,1,1,1,0,0,1,4,4,2
1,4,3,1,0,0,0,0,0,0,0,0,0,1,12,49,11,"35",2,1,1,0,1,1,0,0,0,0,0,1,4,3,3
2,3,2,1,0,0,0,1,0,0,0,0,0,0,29,49,11,"81",2,1,1,0,1,1,0,0,0,0,0,2,3,2,1
2,4,4,0,0,1,0,1,0,0,0,0,0,0,51,49,11,"109",1,2,1,1,1,1,1,1,1,0,0,2,4,4,2
3,2,3,1,0,0,0,1,0,0,0,0,0,0,34,50,11,"50",2,1,0,1,1,0,0,0,0,0,0,3,2,3,1
2,3,5,0,0,1,0,0,0,1,0,0,0,0,38,51,11,"58",1,2,1,1,1,1,1,1,1,0,0,2,3,5,1
3,2,2,1,0,0,0,1,0,0,0,0,0,0,40,51,11,"58",5,2,1,1,0,0,0,0,0,0,0,3,2,2,2
2,3,2,1,0,0,0,0,1,0,0,0,0,0,19,53,11,"26",4,2,0,1,1,0,1,0,0,0,0,2,3,2,2
2,3,1,1,0,0,0,1,0,0,0,0,0,0,24,53,11,"36",4,2,1,0,0,1,1,0,0,0,0,2,3,1,1
1,3,5,0,0,1,0,0,1,0,0,0,0,0,51,53,11,"47",2,2,0,0,1,0,1,1,0,0,0,1,3,5,2
1,1,3,1,0,0,0,1,0,0,0,0,0,0,57,54,11,"43",1,1,1,0,0,0,0,0,0,0,0,1,1,3,1
1,1,4,1,0,0,0,1,0,0,0,0,0,0,58,54,11,"50",4,1,1,1,1,1,1,1,1,0,0,1,1,4,1
3,1,2,1,0,0,0,1,0,0,0,0,0,0,13,55,11,"68",2,1,1,0,1,1,0,0,0,0,0,3,1,2,1
2,2,5,1,0,0,0,0,0,1,0,0,0,0,43,55,11,"93",3,1,0,1,1,1,1,1,1,0,0,2,2,5,2
3,3,5,1,0,0,0,0,0,1,0,0,0,0,46,56,11,"51",3,2,0,1,0,1,0,1,1,0,0,3,3,5,3
1,1,3,1,0,0,0,0,0,0,0,0,0,1,46,56,11,"54",3,2,1,1,1,1,1,1,1,1,0,1,1,3,2
1,3,4,1,0,0,0,0,0,1,0,0,0,0,1,57,11,"63",3,2,0,1,1,1,1,1,0,0,0,1,3,4,2
3,4,3,1,0,0,0,0,0,0,0,1,0,0,59,58,11,"44",3,2,1,1,1,1,1,1,1,0,0,3,4,3,3
2,2,3,1,0,0,0,0,1,0,0,0,0,0,39,59,11,"26",3,1,1,0,1,1,0,1,0,0,0,2,2,3,1
3,2,2,1,0,0,0,1,0,0,0,0,0,0,38,0,12,"42",4,2,1,0,0,0,0,0,0,0,0,3,2,2,2
2,1,2,1,0,0,0,0,0,1,0,0,0,0,52,0,12,"50",4,2,0,1,1,1,0,0,0,0,0,2,1,2,1
1,3,3,1,0,0,0,0,0,1,0,0,0,0,43,1,12,"739",1,2,0,0,1,1,0,1,0,0,0,1,3,3,2
2,3,5,1,0,0,0,1,0,0,0,0,0,0,24,5,12,"52",5,1,1,1,1,1,1,1,1,0,0,2,3,5,3
2,1,5,1,0,0,0,0,0,1,0,0,0,0,32,5,12,"51",5,1,0,0,0,0,0,0,0,1,0,2,1,5,2
3,3,4,1,0,0,0,0,0,1,0,0,0,0,35,13,12,"36",4,1,1,1,0,0,1,0,0,0,0,3,3,4,3
2,1,5,0,0,1,0,1,0,0,0,0,0,0,18,16,12,"93",2,1,0,0,1,0,0,0,1,0,0,2,1,5,2
2,2,5,1,0,0,0,1,0,0,0,0,0,0,21,25,12,"128",2,2,1,0,1,1,1,0,0,0,0,2,2,5,2
1,2,3,1,0,0,0,0,0,1,0,0,0,0,48,26,12,"56",2,1,0,1,1,1,0,0,0,0,0,1,2,3,2
3,2,5,1,0,0,0,0,0,0,0,0,0,1,55,26,12,"77",2,1,1,0,0,0,0,0,1,0,0,3,2,5,2
2,1,5,0,0,1,0,1,0,0,0,0,0,0,23,31,12,"33",2,1,0,0,0,0,0,0,0,1,0,2,1,5,1
3,3,3,1,0,0,0,0,1,0,0,0,0,0,59,36,12,"80",1,2,1,1,1,1,0,0,0,0,0,3,3,3,3
1,2,4,0,0,1,0,0,0,1,0,0,0,0,1,35,13,"182",2,1,0,1,0,0,0,1,1,0,0,1,2,4,1
2,3,5,0,0,1,0,1,0,0,0,0,0,0,4,42,13,"98",2,2,0,1,1,0,1,0,1,0,0,2,3,5,2
3,1,1,0,0,1,0,0,0,0,0,0,1,0,55,34,14,"33",5,1,0,0,0,0,0,0,0,1,0,3,1,1,4
3,1,3,0,0,1,0,0,0,1,0,0,0,0,21,51,16,"73",2,1,1,1,1,1,1,1,1,0,0,3,1,3,2
2,4,5,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",1,2,1,0,1,1,0,1,1,0,0,2,4,5,3
1,1,4,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",1,2,1,1,0,1,0,1,0,0,0,1,1,4,2
3,1,5,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",4,2,0,0,1,1,0,0,0,0,0,3,1,5,3
3,3,4,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",2,1,0,0,1,1,0,0,0,0,0,3,3,4,2
3,2,4,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",5,1,1,1,0,0,0,1,0,0,0,3,2,4,2
2,3,4,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",5,1,1,1,0,0,0,0,0,0,0,2,3,4,3
2,1,4,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",5,2,0,1,0,0,0,0,0,0,0,2,1,4,1
2,2,5,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",3,1,0,1,1,0,1,1,1,0,0,2,2,5,2
2,3,2,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",2,2,1,0,1,1,0,0,0,0,0,2,3,2,2
1,1,5,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",2,2,0,0,1,0,0,1,1,0,0,1,1,5,3
1,2,4,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",2,1,0,1,0,0,0,0,0,0,0,1,2,4,2
1,2,3,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",2,1,1,1,1,1,1,1,0,0,0,1,2,3,3
3,1,4,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",3,1,0,1,0,1,0,0,0,0,0,3,1,4,2
1,1,2,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",3,2,0,1,0,0,0,1,0,1,0,1,1,2,3
1,2,5,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",3,2,1,0,0,1,0,1,0,0,0,1,2,5,3
3,2,4,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",3,2,1,1,0,1,1,0,0,0,0,3,2,4,2
3,2,5,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",2,1,1,1,1,0,0,1,0,0,0,3,2,5,2
2,1,5,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",2,1,1,0,0,1,0,0,0,0,0,2,1,5,2
2,2,5,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",1,1,0,0,0,1,1,0,1,0,0,2,2,5,2
3,3,5,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",2,2,1,1,1,0,1,0,1,1,1,3,3,5,2
3,2,5,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",2,2,1,1,0,0,1,0,0,0,0,3,2,5,2
2,3,5,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",3,1,0,1,0,1,0,0,0,0,0,2,3,5,2
3,2,2,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",5,2,1,1,0,0,1,0,1,0,0,3,2,2,3
2,2,5,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",3,1,1,1,1,1,0,0,0,0,0,2,2,5,2
1,2,3,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",2,1,0,0,0,0,0,0,1,0,0,1,2,3,1
1,1,5,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",2,2,1,0,0,0,1,0,0,0,0,1,1,5,3
3,1,4,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",2,1,1,1,0,1,1,0,0,0,0,3,1,4,3
1,1,4,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,"70",1,1,0,1,0,1,0,0,0,0,0,1,1,4,1
